\x00LoRa init succeeded\r
33~!
33~!
33~!
33~!
33~!
33~!
33~!
33~!
33~!
33~!
33~!
33~!
33~!
33~!
33~!
33~!
33~!
33~!
33~!
33~!
33~!
33~!
33~!
33~!
1717~5129.093,11308.333,168.10,21:41:35
1723~5129.095,11308.336,168.10,21:41:36
1727~5129.096,11308.336,168.10,21:41:39
1720~5129.096,11308.336,168.10,21:41:41
1721~5129.096,11308.336,168.10,21:41:42
1721~5129.095,11308.335,168.00,21:41:45
1721~5129.094,11308.334,168.00,21:41:47
1721~5129.092,11308.332,168.30,21:41:48
1715~5129.081,11308.327,172.60,21:41:51
1715~5129.075,11308.324,175.10,21:41:53
1718~5129.070,11308.322,177.70,21:41:55
1728~5129.068,11308.322,178.70,21:41:57
1729~5129.066,11308.322,179.70,21:41:59
1660~5129.065,11308.321,180.80,21:42:1
1655~5129.062,11308.321,182.20,21:42:3
1664~5129.061,11308.324,180.90,21:42:5
1674~5129.060,11308.326,179.80,21:42:7
1684~5129.058,11308.328,178.80,21:42:9
1722~5129.057,11308.328,178.60,21:42:11
1716~5129.055,11308.330,177.80,21:42:13
1711~5129.053,11308.331,177.20,21:42:15
1718~5129.053,11308.332,176.70,21:42:17
1717~5129.053,11308.333,176.30,21:42:19
1709~5129.053,11308.334,176.10,21:42:21
1713~5129.054,11308.334,176.20,21:42:23
1714~5129.055,11308.334,176.00,21:42:25
1717~5129.056,11308.334,176.00,21:42:27
1726~5129.057,11308.334,175.70,21:42:29
1720~5129.058,11308.334,174.80,21:42:31
1715~5129.059,11308.334,174.00,21:42:33
1711~5129.060,11308.334,173.30,21:42:35
1716~5129.062,11308.333,172.60,21:42:37
1716~5129.063,11308.333,171.40,21:42:39
1720~5129.064,11308.332,169.80,21:42:41
1717~5129.065,11308.332,169.20,21:42:43
1719~5129.066,11308.331,168.30,21:42:45
1724~5129.067,11308.331,167.60,21:42:47
1731~5129.068,11308.331,168.90,21:42:49
1708~5129.070,11308.331,168.00,21:42:51
1716~5129.071,11308.330,166.80,21:42:53
1718~5129.073,11308.330,165.70,21:42:55
1720~5129.074,11308.330,164.70,21:42:57
1721~5129.076,11308.330,163.50,21:42:59
33~!
33~!
1673~5129.044,11308.559,216.80,21:43:3
1679~5129.043,11308.588,274.70,21:43:5
1672~5129.040,11308.584,328.50,21:43:7
1679~5129.045,11308.584,364.50,21:43:9
1723~5129.052,11308.583,397.50,21:43:11
1725~5129.056,11308.584,429.40,21:43:13
1720~5129.058,11308.581,450.40,21:43:15
1726~5129.060,11308.576,476.30,21:43:17
1733~5129.060,11308.576,489.40,21:43:19
1715~5129.061,11308.574,501.90,21:43:21
1711~5129.063,11308.573,521.00,21:43:23
1718~5129.064,11308.573,534.00,21:43:25
1730~5129.066,11308.572,543.90,21:43:27
1730~5129.070,11308.570,557.90,21:43:29
1731~5129.073,11308.569,569.30,21:43:31
1734~5129.075,11308.568,578.30,21:43:33
1742~5129.078,11308.568,587.60,21:43:35
1739~5129.080,11308.567,599.60,21:43:37
1727~5129.083,11308.566,610.60,21:43:39
1730~5129.084,11308.565,619.70,21:43:41
1727~5129.086,11308.563,625.50,21:43:43
1725~5129.087,11308.563,631.30,21:43:45
1738~5129.089,11308.563,636.70,21:43:47
1731~5129.091,11308.563,641.90,21:43:49
1727~5129.090,11308.563,645.90,21:43:51
1723~5129.092,11308.564,651.30,21:43:53
1734~5129.093,11308.565,658.30,21:43:55
1732~5129.094,11308.566,661.30,21:43:57
1738~5129.094,11308.568,665.10,21:43:59
1679~5129.095,11308.570,669.40,21:44:1
1683~5129.096,11308.572,672.90,21:44:3
1687~5129.096,11308.574,675.60,21:44:5
1699~5129.098,11308.577,679.70,21:44:7
1696~5129.099,11308.578,682.60,21:44:9
1715~5129.101,11308.580,685.40,21:44:11
1727~5129.103,11308.581,689.70,21:44:13
1721~5129.104,11308.582,693.20,21:44:15
1730~5129.106,11308.583,696.30,21:44:17
1726~5129.108,11308.585,700.70,21:44:19
1716~5129.110,11308.586,703.70,21:44:21
1719~5129.111,11308.587,706.30,21:44:23
1717~5129.113,11308.589,710.00,21:44:25
1726~5129.115,11308.589,712.30,21:44:27
1729~5129.116,11308.591,713.90,21:44:29
1720~5129.118,11308.592,716.10,21:44:31
1734~5129.119,11308.594,717.90,21:44:33
1732~5129.121,11308.595,719.90,21:44:35
1731~5129.123,11308.597,721.90,21:44:37
1737~5129.124,11308.598,723.90,21:44:39
1725~5129.126,11308.598,725.00,21:44:41
1731~5129.127,11308.599,726.10,21:44:43
1723~5129.169,11308.610,728.40,21:42:45
1713~5129.132,11308.600,730.50,21:44:47
1717~5129.134,11308.601,732.20,21:44:49
1716~5129.135,11308.601,733.60,21:44:51
1719~5129.137,11308.602,735.20,21:44:53
1729~5129.139,11308.603,737.50,21:44:55
1723~5129.141,11308.604,739.10,21:44:57
1724~5129.142,11308.604,741.60,21:44:59
1670~5129.144,11308.605,743.70,21:45:1
1671~5129.145,11308.606,745.20,21:45:3
1682~5129.147,11308.607,746.70,21:45:5
1690~5129.148,11308.609,747.90,21:45:7
1678~5129.149,11308.610,749.00,21:45:9
1707~5129.151,11308.612,750.10,21:45:11
1714~5129.152,11308.613,751.30,21:45:13
1722~5129.153,11308.615,752.50,21:45:15
1729~5129.155,11308.616,754.50,21:45:17
1733~5129.157,11308.618,756.10,21:45:19
1732~5129.159,11308.619,757.30,21:45:21
1717~5129.160,11308.620,758.10,21:45:23
1731~5129.162,11308.622,758.90,21:45:25
1732~5129.163,11308.623,759.50,21:45:27
1725~5129.164,11308.624,760.20,21:45:29
1724~5129.166,11308.626,761.30,21:45:31
1734~5129.167,11308.627,761.90,21:45:33
1732~5129.168,11308.628,763.10,21:45:35
1721~5129.170,11308.630,764.10,21:45:37
1732~5129.171,11308.632,764.70,21:45:39
1723~5129.172,11308.633,765.20,21:45:41
1735~5129.174,11308.635,765.80,21:45:43
1736~5129.175,11308.637,766.30,21:45:45
1745~5129.177,11308.638,766.70,21:45:47
1737~5129.178,11308.640,767.20,21:45:49
1738~5129.179,11308.641,767.80,21:45:51
1729~5129.181,11308.643,768.10,21:45:53
1736~5129.182,11308.645,768.30,21:45:55
1741~5129.183,11308.646,768.40,21:45:57
1746~5129.184,11308.647,768.50,21:45:59
1692~5129.185,11308.649,768.80,21:46:1
1686~5129.186,11308.651,769.50,21:46:3
1694~5129.188,11308.653,769.70,21:46:5
1699~5129.188,11308.655,769.80,21:46:7
1704~5129.189,11308.656,769.90,21:46:9
1724~5129.191,11308.658,770.10,21:46:11
1723~5129.192,11308.660,770.40,21:46:13
1731~5129.193,11308.662,770.70,21:46:15
1730~5129.194,11308.664,771.00,21:46:17
1735~5129.195,11308.665,771.10,21:46:19
1733~5129.197,11308.667,771.20,21:46:21
1736~5129.198,11308.668,771.10,21:46:23
1733~5129.199,11308.670,771.20,21:46:25
1722~5129.200,11308.672,771.40,21:46:27
1729~5129.202,11308.673,771.60,21:46:29
1726~5129.203,11308.675,771.70,21:46:31
1732~5129.204,11308.676,771.90,21:46:33
1737~5129.205,11308.678,771.90,21:46:35
1741~5129.207,11308.679,771.80,21:46:37
1731~5129.208,11308.680,772.20,21:46:39
1729~5129.209,11308.682,772.40,21:46:41
1725~5129.210,11308.683,772.50,21:46:43
1731~5129.212,11308.684,772.60,21:46:45
1737~5129.214,11308.685,772.70,21:46:47
1741~5129.215,11308.686,772.70,21:46:49
1737~5129.216,11308.687,772.80,21:46:51
1735~5129.218,11308.688,773.00,21:46:53
1739~5129.219,11308.689,773.00,21:46:55
1726~5129.220,11308.690,773.10,21:46:57
1732~5129.222,11308.691,773.20,21:46:59
1674~5129.223,11308.692,773.20,21:47:1
1677~5129.224,11308.693,773.10,21:47:3
1688~5129.225,11308.694,772.90,21:47:5
1689~5129.226,11308.695,772.60,21:47:7
1692~5129.227,11308.697,772.40,21:47:9
1737~5129.228,11308.699,772.50,21:47:11
1726~5129.229,11308.701,772.70,21:47:13
1723~5129.230,11308.702,772.90,21:47:15
1721~5129.231,11308.704,773.10,21:47:17
1727~5129.232,11308.706,773.20,21:47:19
1723~5129.232,11308.708,773.30,21:47:21
1720~5129.233,11308.710,773.40,21:47:23
1724~5129.234,11308.712,773.30,21:47:25
1730~5129.236,11308.714,773.30,21:47:27
1733~5129.236,11308.716,773.20,21:47:29
1728~5129.237,11308.718,773.10,21:47:31
1723~5129.238,11308.720,773.00,21:47:33
1735~5129.239,11308.722,772.80,21:47:35
1729~5129.240,11308.724,772.60,21:47:37
1734~5129.241,11308.726,772.60,21:47:39
1727~5129.242,11308.728,772.30,21:47:41
1733~5129.243,11308.729,772.50,21:47:43
1732~5129.244,11308.731,772.80,21:47:45
1740~5129.246,11308.734,772.90,21:47:47
1736~5129.247,11308.735,773.00,21:47:49
1732~5129.248,11308.737,773.00,21:47:51
1737~5129.249,11308.739,773.00,21:47:53
1728~5129.250,11308.742,773.30,21:47:55
1735~5129.250,11308.744,773.60,21:47:57
1743~5129.251,11308.746,773.90,21:47:59
1685~5129.252,11308.748,773.80,21:48:1
1682~5129.253,11308.750,773.90,21:48:3
1686~5129.253,11308.752,773.90,21:48:5
1691~5129.254,11308.754,773.90,21:48:7
1696~5129.255,11308.756,773.90,21:48:9
1732~5129.256,11308.758,774.00,21:48:11
1728~5129.257,11308.760,774.00,21:48:13
1732~5129.257,11308.762,774.00,21:48:15
1737~5129.258,11308.764,774.00,21:48:17
1742~5129.259,11308.766,774.00,21:48:19
1730~5129.260,11308.768,774.10,21:48:21
1727~5129.261,11308.770,774.20,21:48:23
1731~5129.262,11308.771,774.20,21:48:25
1736~5129.263,11308.773,774.20,21:48:27
1740~5129.263,11308.775,774.20,21:48:29
1739~5129.264,11308.777,774.50,21:48:31
1743~5129.265,11308.779,774.40,21:48:33
1741~5129.266,11308.782,774.50,21:48:35
1747~5129.266,11308.784,774.70,21:48:37
1750~5129.267,11308.786,775.40,21:48:39
1747~5129.267,11308.788,776.50,21:48:41
1746~5129.267,11308.791,777.70,21:48:43
1751~5129.268,11308.792,778.70,21:48:45
1753~5129.268,11308.794,779.40,21:48:47
1759~5129.268,11308.797,779.50,21:48:49
1754~5129.269,11308.799,779.40,21:48:51
1736~5129.269,11308.801,779.00,21:48:53
1748~5129.269,11308.803,778.90,21:48:55
1740~5129.270,11308.805,778.50,21:48:57
1740~5129.270,11308.807,778.10,21:48:59
1688~5129.271,11308.809,777.70,21:49:1
1680~5129.271,11308.812,777.30,21:49:3
1681~5129.272,11308.813,777.00,21:49:5
1691~5129.272,11308.815,776.70,21:49:7
1694~5129.273,11308.818,776.40,21:49:9
1726~5129.274,11308.820,776.10,21:49:11
1736~5129.274,11308.822,775.80,21:49:13
1739~5129.275,11308.824,775.60,21:49:15
1739~5129.275,11308.826,775.20,21:49:17
1742~5129.276,11308.828,775.00,21:49:19
1734~5129.276,11308.831,774.60,21:49:21
1735~5129.277,11308.833,774.20,21:49:23
1743~5129.278,11308.836,773.50,21:49:25
1750~5129.279,11308.838,772.80,21:49:27
1732~5129.280,11308.840,772.30,21:49:29
1734~5129.281,11308.843,771.90,21:49:31
1734~5129.282,11308.845,771.40,21:49:33
1735~5129.283,11308.847,771.00,21:49:35
1745~5129.283,11308.849,770.70,21:49:37
1740~5129.284,11308.852,770.50,21:49:39
1734~5129.284,11308.854,770.40,21:49:41
1736~5129N2<5,11308.855,770.20,21:49:43
1740~5129.286,11308.858,770.00,21:49:45
1751~5129.286,11308.860,769.80,21:49:47
1752~5129.287,11308.862,769.40,21:49:49
1744~5129.287,11308.864,769.10,21:49:51
1749~5129.288,11308.867,769.00,21:49:53
1754~5129.288,11308.869,769.10,21:49:55
1750~5129.289,11308.871,769.10,21:49:57
1754~5129.289,11308.874,769.00,21:49:59
1687~5129.289,11308.876,769.00,21:50:1
1691~5129.290,11308.878,768.90,21:50:3
1687~5129.290,11308.881,768.90,21:50:5
1691~5129.291,11308.883,768.80,21:50:7
1694~5129.291,11308.885,768.70,21:50:9
1737~5129.291,11308.887,768.70,21:50:11
1735~5129.292,11308.890,768.80,21:50:13
1740~5129.292,11308.892,768.90,21:50:15
1745~5129.293,11308.894,768.90,21:50:17
1749~5129.293,11308.896,768.90,21:50:19
1735~5129.293,11308.897,769.00,21:50:21
1741~5129.294,11308.899,769.10,21:50:23
1730~5129.295,11308.902,769.20,21:56:25
1736~5129.295,11308.904,769.40,21:50:27
1743~5129.296,11308.906,769.60,21:50:29
1741~5129.297,11308.908,769.80,21:50:31
1738~5129.298,11308.910,769.90,21:50:33
1725~5129.299,11308.911,770.00,21:50:35
1714~5129.300,11308.913,770.20,21:50:37
1721~5129.301,11308.915,770.40,21:50:39
1718~5129.301,11308.917,770.60,21:50:41
1724~5129.302,11308.918,770.80,21:50:43
1713~5129.303,11308.920,771.00,21:50:45
1721~5129.303,11308.923,771.30,21:50:47
1724~5129.303,11308.925,771.20,21:50:49
1720~5129.304,11308.928,771.10,21:50:51
1714~5129.304,11308.930,771.00,21:50:53
1720~5129.304,11308.933,771.10,21:50:55
1725~5129.304,11308.935,771.20,21:50:57
1731~5129.305,11308.938,771.20,21:50:59
1673~5129.305,11308.939,771.30,21:51:1
1669~5129.305,11308.941,771.40,21:51:3
1674~5129.306,11308.943,771.40,21:51:5
1680~5129.306,11308.946,771.50,21:51:7
1686~5129.307,11308.948,771.60,21:51:9
1723~5129.307,11308.951,771.80,21:51:11
1728~5129.307,11308.953,771.90,21:51:13
1725~5129.307,11308.956,772.00,21:51:15
1732~5129.308,11308.958,772.20,21:51:17
1731~5129.308,11308.961,772.50,21:51:19
1728~5129.309,11308.963,772.60,21:51:21
1733~5129.309,11308.966,772.60,21:51:23
1729~5129.310,11308.968,772.60,21:51:25
1723~5129.310,11308.970,772.50,21:51:27
1730~5129.311,11308.972,772.70,21:51:29
1726~5129.312,11308.974,772.70,21:51:31
1731~5129.312,11308.976,772.80,21:51:33
1735~5129.312,11308.978,772.80,21:51:35
1739~5129.312,11308.979,772.90,21:51:37
1733~5129.312,11308.981,772.80,21:51:39
1728~5129.311,11308.983,772.90,21:51:41
1723~5129.310,11308.984,773.10,21:51:43
1734~5129.308,11308.986,773.10,21:51:45
1737~5129.307,11308.987,773.20,21:51:47
1740~5129.306,11308.988,773.30,21:51:49
1733~5129.304,11308.989,773.40,21:51:51
1727~5129.303,11308.990,773.50,21:51:53
1729~5129.302,11308.991,773.50,21:51:55
1730~5129.300,11308.992,773.50,21:51:57
1749~5129.299,11308.993,773.40,21:51:59
1691~5129.299,11308.994,773.50,21:52:1
1694~5129.299,11308.994,773.60,21:52:3
1695~5129.298,11308.994,773.60,21:52:5
1697~5129.298,11308.994,773.60,21:52:7
1697~5129.297,11308.994,773.50,21:52:9
1738~5129.296,11308.995,773.50,21:52:11
1738~5129.295,11308.995,773.40,21:52:13
1739~5129.293,11308.995,773.50,21:52:15
1738~5129.292,11308.995,773.30,21:52:17
1737~5129.291,11308.995,773.10,21:52:19
1737~5129.289,11308.995,773.10,21:52:21
1738~5129.288,11308.995,773.10,21:52:23
1738~5129.286,11308.995,773.10,21:52:25
1740~5129.285,11308.995,773.20,21:52:27
1739~5129.283,11308.995,773.10,21:52:29
1732~5129.282,11308.995,773.20,21:52:31
1733~5129.280,11308.995,773.30,21:52:33
1745~5129.279,11308.995,773.50,21:52:35
1746~5129.277,11308.996,773.50,21:52:37
1748~5129.276,11308.996,773.60,21:52:39
1738~5129.274,11308.996,773.50,21:52:41
1738~5129.273,11308.996,773.40,21:52:43
1737~5129.272,11308.996,773.20,21:52:45
1739~5129.271,11308.996,773.30,21:52:47
1750~5129.269,11308.996,773.50,21:52:49
1742~5129.268,11308.997,773.40,21:52:51
1742~5129.267,11308.997,773.30,21:52:53
1741~5129.265,11308.997,773.20,21:52:55
1749~5129.264,11308.998,772.90,21:52:57
1750~5129.263,11308.998,772.90,21:52:59
1657~5129.262,11309.001,773.00,21:53:1
1662~5129.262,11309.003,773.10,21:53:3
1668~5129.262,11309.006,773.20,21:53:5
1673~5129.262,11309.009,773.20,21:53:7
1670~5129.263,11309.011,773.30,21:53:9
1716~5129.263,11309.014,773.50,21:53:11
1721~5129.263,11309.016,773.60,21:53:13
1726~5129.263,11309.018,773.70,21:53:15
1724~5129.263,11309.021,773.90,21:53:17
1725~5129.263,11309.022,773.70,21:53:19
1719~5129.263,11309.024,773.60,21:53:21
1725~5129.263,11309.027,773.70,21:53:23
1728~5129.263,11309.029,773.60,21:53:25
1722~5129.264,11309.031,773.40,21:53:27
1729~5129.263,11309.033,772.90,21:53:29
1721~5129.264,11309.036,772.40,21:53:31
1722~5129.264,11309.038,772.10,21:53:33
1719~5129.265,11309.041,772.10,21:53:35
1725~5129.265,11309.043,772.30,21:53:37
1730~5129.265,11309.046,772.30,21:53:39
1724~5129.265,11309.048,772.20,21:53:41
1727~5129.266,11309.051,771.90,21:53:43
1729~5129.266,11309.053,771.70,21:53:45
1733~5129.266,11309.056,771.60,21:53:47
1737~5129.266,11309.058,771.60,21:53:49
1724~5129.266,11309.061,771.60,21:53:51
1729~5129.267,11309.063,771.\x86\x8b\xfa21:53:53
1729~5129.266,11309.065,771.30,21:53:55
1734~5129.266,11309.068,771.30,21:53:57
\xec724~5129.266,11309.070,771.30,21:53:59
1672~5129.266,11309.073,771.30,21:54:1
1676~5129.266,11309.075,771.30,21:54:3
1680~5129.266,11309.078,771.20,21:54:5
1676~5129.267,11309.080,771.20,21:54:7
1679~5129.267,11309.083,771.00,21:54:9
1722~5129.267,11309.085,771.00,21:54:11
1727~5129.267,11309.088,771.00,21:54:13
1723~5129.267,11309.090,771.10,21:54:15
1728~5129.267,11309.093,771.10,21:54:17
1733~5129.267,11309.095,771.20,21:54:19
1731~5129.267,11309.098,771.40,21:54:21
1719~5129.267,11309.101,771.50,21:54:23
1723~5129.267,11309.103,771.50,21:54:25
1724~5129.267,11309.104,771.30,21:54:27
1728~5129.267,11309.107,771.20,21:54:29
1723~5129.268,11309.109,771.10,21:54:31
1725~5129.268,11309.111,770.90,21:54:33
1726~5129.268,11309.113,770.60,21:54:35
1741~5129.268,11309.115,769.90,21:54:37
1738~5129.268,11309.117,769.20,21:54:39
1736~5129.268,11309.119,768.60,21:54:41
1725~5129.268,11309.121,768.00,21:54:43
1\xbf\xb31~5129.268,11309.123,767.30,21:54:45
1739~5129.268,11309.126,766.70,21:54:47
1740~5129.268,11309.128,766.40,21:54:49
1725~5129.268,11309.131,766.20,21:54:51
1730~5129.268,11309.133,766.30,21:54:53
1736~5129.267,11309.136,766.50,21:54:55
1742~5129.266,11309.138,766.80,21:54:57
1737~5129.265,11309.139,767.00,21:54:59
1671~5129.262,11309.141,767.30,21:55:2
1673~5129.262,11309.141,767.40,21:55:3
1685~5129.259,11309.142,767.60,21:55:6
1686~5129.259,11309.142,767.60,21:55:7
1685~5129.257,11309.142,767.50,21:55:9
1726~5129.256,11309.142,767.60,21:55:11
1728~5129.254,11309.142,767.80,21:55:13
1722~5129.252,11309.142,768.00,21:55:16
1726~5129.250,11309.143,768.30,21:55:18
1720~5129.250,11309.143,768.40,21:55:20
1730~5129.249,11309.143,768.50,21\xba5\xb5\xba\xba9
1732~5129.247,11309.143,768.70,21:55:23
1732~5129.245,11309.142,768.70,21:55:26
1731~5129.243,11309.142,768.60,21:55:28
1721~5129.242,11309.142,768.40,21:55:30
1726~5129.240,11309.141l\x13\x121j;0,21:55:34
1732~5129.238,11309.141,767.60,21:55:36
1731~5129.236,11309.141,767.50,21:55:38
1719~5129.235,11309.140,767.20,21:55:40
1724~5129.234,11309.140,766.70,21:55:42
1722~5129.233,11309.141,766.30,21:55:44
1726~5129.231,11309.140,765.90,21:55:46
1723~5129.230,11309.140,765.50,21:55:48
1721~5129.229,11309.140,765.20,21:55:50
1727~512\xb9\xae>\xb2{,11309.140,764.90,21:55:52
1729~5129.224,11309.139,764.20,21:55:56
